count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
7380,S,2022,2022-06-28,18,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,18,8,801,8,67,1,1,1,0,0,6,9,893
7380,S,2022,2022-06-28,12,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,6,1,526,7,162,13,9,12,0,0,11,45,741
7380,N,2022,2022-06-28,9,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,19,1,621,2,159,15,0,11,0,2,13,41,824
7380,N,2022,2022-06-28,13,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,4,0,584,5,149,13,0,10,0,0,9,32,770
7380,N,2022,2022-06-28,8,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,5,7,489,3,154,9,1,13,0,1,8,32,685
7380,N,2022,2022-06-28,16,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,2,0,621,4,192,18,0,6,0,1,6,31,848
7380,S,2022,2022-06-28,15,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,3,4,714,7,168,16,5,11,0,0,10,42,935
7380,N,2022,2022-06-28,10,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,4,0,575,7,171,20,0,10,0,3,13,46,799
7380,S,2022,2022-06-28,9,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,8,3,658,9,165,20,1,13,0,0,17,51,886
7380,S,2022,2022-06-28,14,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,5,3,672,5,145,10,8,9,0,0,10,37,862
7380,S,2022,2022-06-28,11,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,3,3,485,8,188,17,3,18,0,2,20,60,744
7380,N,2022,2022-06-28,12,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,2,0,457,4,151,15,0,5,1,2,21,44,656
7380,N,2022,2022-06-28,14,8,Yorkshire and The Humber,159,Sheffield,A6178,Major,B6200,A6102,438000,388900,53.39558835,-1.43001054,1.5,0.93,4,1,540,5,166,13,0,6,0,1,13,33,745
7817,W,2020,2020-04-21,17,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,5,0,305,0,67,0,0,4,1,1,0,6,378
7817,W,2020,2020-04-21,12,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,4,2,275,1,71,7,5,20,1,2,4,39,388
7817,W,2020,2020-04-21,7,8,Yorkshire and The Humber,159,Sheffield,A6102,Major,A6109,A6135,438000,390040,53.40583498,-1.42987381,1.7,1.06,2,5,405,0,51,4,2,13,1,2,1,23,484
